#M. Wang et al., Chinese Physics C41, 030003, 2017
#  iz  ia   BE (keV)  error (keV)  in
  88 225  1725206.875     2.700 1 137
  88 226  1731603.375     2.034 1 138
  88 227  1736164.875     2.043 1 139
  88 228  1742473.625     2.052 1 140
  88 229  1746923.000    15.343 1 141
  88 230  1753040.250    10.350 1 142
  88 231  1757411.250    11.319 1 143
  88 232  1763202.000     9.048 1 144
  88 233  1767436.375     8.621 1 145
  88 234  1772911.000     8.424 1 146
  89 205  1570884.500    50.840 1 116
  89 206  1579583.000    50.470 1 117
  89 207  1589987.500    50.301 1 118
  89 208  1598452.000    55.744 1 119
  89 209  1608432.625    50.578 1 120
  89 210  1616558.125    57.330 1 121
  89 211  1626216.875    52.961 1 122
  89 212  1634213.000    51.304 1 123
  89 213  1643407.000    15.336 1 124
  89 214  1651189.125    15.408 1 125
  89 215  1659673.875    12.470 1 126
  89 216  1665631.250    10.800 1 127
  89 217  1673143.375    11.284 1 128
  89 218  1679074.500    50.794 1 129
  89 219  1686420.250    50.589 1 130
  89 220  1692317.250     6.160 1 131
  89 221  1699609.125    50.388 1 132
  89 222  1705582.000     5.106 1 133
  89 223  1712448.875     7.136 1 134
  89 224  1718112.000     4.032 1 135
  89 225  1724780.250     4.725 1 136
  89 226  1730179.625     3.164 1 137
  89 227  1736710.500     1.816 1 138
  89 228  1741736.625     2.052 1 139
  89 229  1748012.875    12.137 1 140
  89 230  1752935.750    15.870 1 141
  89 231  1759082.625    12.936 1 142
  89 232  1763762.375    12.992 1 143
  89 233  1769680.000    13.048 1 144
  89 234  1774218.125    14.040 1 145
  89 235  1779773.375    13.865 1 146
  89 236  1783981.125    38.232 1 147
  90 208  1591739.125    34.112 1 118
  90 210  1610506.000    18.900 1 120
  90 211  1618726.625    73.006 1 121
  90 212  1628597.125    10.176 1 122
  90 213  1636659.250     9.159 1 123
  90 214  1646155.875    10.700 1 124
  90 215  1654000.375     8.815 1 125
  90 216  1662695.000    12.096 1 126
  90 217  1668859.000    10.633 1 127
  90 218  1676769.250    10.464 1 128
  90 219  1682735.750    50.589 1 129
  90 220  1690609.500    22.220 1 130
  90 221  1696409.500     8.177 1 131
  90 222  1704218.125    12.210 1 132
  90 223  1710106.750     9.143 1 133
  90 224  1717570.250    10.080 1 134
  90 225  1723325.000     5.175 1 135
  90 226  1730508.875     4.520 1 136
  90 227  1735973.000     2.043 1 137
  90 228  1743078.250     1.824 1 138
  90 229  1748334.875     2.519 1 139
  90 230  1755129.125     1.150 1 140
  90 231  1760247.250     1.155 1 141
  90 232  1766687.750     1.392 1 142
  90 233  1771474.125     1.398 1 143
  90 234  1777664.125     2.574 1 144
  90 235  1782330.375    12.925 1 145
  90 236  1788164.375    13.924 1 146
  90 237  1792536.000    15.879 1 147
  91 212  1618332.375    74.836 1 121
  91 213  1628334.375    71.142 1 122
  91 214  1636582.750    76.184 1 123
  91 215  1646275.625    72.885 1 124
  91 216  1654411.875    53.568 1 125
  91 217  1663213.875    15.841 1 126
  91 218  1669669.875    18.312 1 127
  91 219  1677884.750    51.465 1 128
  91 221  1692191.250    51.272 1 130
  91 223  1706389.625    71.137 1 132
  91 224  1712919.250     7.616 1 133
  91 225  1720512.000    71.100 1 134
  91 226  1726890.875    11.526 1 135
  91 227  1734164.250     7.491 1 136
  91 228  1740143.250     4.332 1 137
  91 229  1747241.125     3.206 1 138
  91 230  1753035.875     2.990 1 139
  91 231  1759856.375     1.848 1 140
  91 232  1765405.375     7.656 1 141
  91 233  1771933.875     1.398 1 142
  91 234  1777155.875     3.978 1 143
  91 235  1783277.125    13.865 1 144
  91 236  1788303.500    13.924 1 145
  91 237  1794181.000    13.035 1 146
  91 238  1798885.875    15.946 1 147
  92 215  1638434.125    88.580 1 123
  92 216  1648362.375    28.080 1 124
  92 218  1665676.750    13.734 1 126
  92 219  1672356.125    50.808 1 127
  92 221  1687265.125    51.051 1 129
  92 222  1695583.625    51.948 1 130
  92 223  1702090.750    71.137 1 131
  92 224  1710277.000    23.072 1 132
  92 225  1716690.625    10.800 1 133
  92 226  1724813.000    13.108 1 134
  92 227  1731167.625     9.761 1 135
  92 228  1739062.250    14.364 1 136
  92 229  1745145.125     5.954 1 137
  92 230  1752812.000     4.600 1 138
  92 231  1758692.500     2.772 1 139
  92 232  1765960.125     1.856 1 140
  92 233  1771721.750     2.330 1 141
  92 234  1778567.250     1.170 1 142
  92 235  1783864.750     1.175 1 143
  92 236  1790410.250     1.180 1 144
  92 237  1795536.125     1.185 1 145
  92 238  1801689.750     1.428 1 146
  92 239  1806496.125     1.434 1 147
  92 240  1812424.750     2.640 1 148
  93 219  1665403.625    88.257 1 126
  93 225  1711700.375    71.550 1 132
  93 227  1726868.750    72.413 1 134
  93 228  1733906.500    50.616 1 135
  93 229  1741793.625    86.791 1 136
  93 230  1748408.500    51.290 1 137
  93 231  1756091.500    50.589 1 138
  93 233  1769910.250    51.027 1 140
  93 234  1775975.125     8.424 1 141
  93 235  1782958.250     1.410 1 142
  93 236  1788694.500    50.504 1 143
  93 237  1795272.375     1.185 1 144
  93 238  1800760.625     1.190 1 145
  93 239  1806975.500     1.195 1 146
  93 240  1812041.500    17.040 1 147
  93 241  1818169.125    70.613 1 148
  93 242  1823083.500   199.892 1 149
  94 228  1730632.500    29.184 1 134
  94 229  1737395.500    51.067 1 135
  94 230  1745928.000    14.720 1 136
  94 231  1752624.750    22.638 1 137
  94 232  1760642.000    17.632 1 138
  94 233  1767024.500    50.328 1 139
  94 234  1774797.625     6.786 1 140
  94 235  1781036.500    20.445 1 141
  94 236  1788388.625     1.888 1 142
  94 237  1794269.875     1.659 1 143
  94 238  1801269.625     1.190 1 144
  94 239  1806916.000     1.195 1 145
  94 240  1813450.125     1.200 1 146
  94 241  1818691.750     1.205 1 147
  94 242  1825001.125     1.210 1 148
  94 243  1830034.875     2.430 1 149
  94 244  1836054.875     2.440 1 150
  94 245  1840753.750    13.720 1 151
  94 246  1846608.625    15.006 1 152
  95 229  1731858.750    87.249 1 134
  95 235  1777811.125    52.170 1 140
  95 238  1798229.000    50.694 1 143
  95 239  1805331.375     1.912 1 144
  95 240  1811283.125    13.920 1 145
  95 241  1817930.000     1.205 1 146
  95 242  1823467.875     1.210 1 147
  95 243  1829832.000     1.458 1 148
  95 244  1835199.125     1.464 1 149
  95 245  1841249.250     1.960 1 150
  96 233  1758217.500    71.531 1 137
  96 234  1766858.375    17.316 1 138
  96 236  1781870.500    18.408 1 140
  96 237  1788549.875    70.863 1 141
  96 238  1796423.125    12.138 1 142
  96 239  1802792.500    54.014 1 143
  96 240  1810286.625     1.920 1 144
  96 241  1816380.375     1.687 1 145
  96 242  1823349.750     1.210 1 146
  96 243  1829042.750     1.458 1 147
  96 244  1835844.375     1.220 1 148
  96 245  1841362.875     1.225 1 149
  96 246  1847821.875     1.476 1 150
  96 247  1852977.000     3.705 1 151
  96 248  1859188.500     2.480 1 152
  96 249  1863901.875     2.490 1 153
  96 250  1869734.500    10.250 1 154
  96 251  1874147.250    22.590 1 155
  97 243  1826752.750     4.617 1 146
  97 244  1832799.875    14.396 1 147
  97 245  1839771.125     1.715 1 148
  97 246  1845689.625    60.024 1 149
  97 247  1852238.125     5.187 1 150
  97 249  1864024.000     1.245 1 152
  97 250  1868991.750     3.750 1 153
  97 251  1874785.000    10.793 1 154
  98 237  1778293.250    87.216 1 139
  98 240  1802455.250    18.720 1 142
  98 242  1817201.750    12.826 1 144
  98 244  1831253.250     2.684 1 146
  98 245  1837417.500     2.450 1 147
  98 246  1844783.750     1.476 1 148
  98 247  1850841.375    15.314 1 149
  98 248  1857778.625     5.208 1 150
  98 249  1863365.125     1.245 1 151
  98 250  1869989.000     1.500 1 152
  98 251  1875095.500     4.016 1 153
  98 252  1881267.500     2.268 1 154
  98 253  1886071.750     4.301 1 155
  98 254  1892103.125    11.430 1 156
  99 247  1847584.750    19.513 1 148
  99 251  1873936.125     6.024 1 152
  99 252  1879225.000    50.148 1 153
  99 253  1885580.500     1.265 1 154
  99 254  1890671.625     4.064 1 155
  99 255  1896644.250    10.710 1 156
 100 246  1837120.625    15.252 1 146
 100 248  1851554.125     8.432 1 148
 100 249  1858004.125     6.225 1 149
 100 250  1865522.500     8.000 1 150
 100 251  1871712.000    15.311 1 151
 100 252  1878921.625     5.544 1 152
 100 253  1884463.000     3.036 1 153
 100 254  1890977.125     2.540 1 154
 100 255  1896151.500     4.335 1 155
 100 256  1902535.625     5.632 1 156
 100 257  1907503.875     4.369 1 157
 101 251  1867916.875    18.825 1 150
 101 255  1894325.875     6.630 1 154
 101 257  1906318.625     1.542 1 156
 101 258  1911696.125     4.386 1 157
 102 252  1871301.000     9.324 1 150
 102 253  1877885.250     6.831 1 151
 102 254  1885591.875     9.652 1 152
 102 255  1891579.250    14.790 1 153
 102 256  1898635.750     7.680 1 154
 102 257  1904281.875     6.682 1 155
 102 259  1916593.250     6.475 1 157
 103 255  1887656.875    17.595 1 152
 103 256  1893929.000    82.944 1 153
 104 256  1890671.125    17.920 1 152
 104 257  1897098.000    10.794 1 153
 104 258  1904694.875    31.992 1 154
 104 261  1923931.125    50.373 1 157
 105 259  1906333.750    53.095 1 154
 106 260  1909066.125    20.540 1 154
 106 261  1915680.000    18.531 1 155
 106 262  1923390.500    35.370 1 156
 108 264  1926771.000    28.776 1 156
 108 265  1933505.500    23.850 1 157
 108 266  1941340.625    38.570 1 158
 110 269  1950291.375    31.473 1 159
 110 270  1958519.250    48.060 1 160
