#M. Wang et al., Chinese Physics C41, 030003, 2017
#  iz  ia   BE (keV)  error (keV)  in
  29  65   569211.250     0.650 1  36
  29  66   576277.125     0.660 1  37
  29  67   585409.688     0.871 1  38
  29  68   591728.500     1.564 1  39
  29  69   599969.062     1.380 1  40
  29  70   605280.562     1.050 1  41
  29  71   613086.625     1.491 1  42
  29  72   618229.812     1.368 1  43
  29  73   625505.562     1.971 1  44
  29  74   630595.562     6.142 1  45
  29  75   637132.000     2.325 1  46
  29  76   641708.062     6.688 1  47
  29  78   651372.125   503.022 1  49
  30  58   486964.781    49.996 1  28
  30  59   499952.875     0.767 1  29
  30  60   514983.000     0.540 1  30
  30  61   525228.812    15.921 1  31
  30  62   538119.250     0.620 1  32
  30  63   547235.938     1.575 1  33
  30  64   559097.938     0.640 1  34
  30  65   567077.188     0.650 1  35
  30  66   578135.688     0.726 1  36
  30  67   585188.188     0.737 1  37
  30  68   595386.250     0.816 1  38
  30  69   601868.250     0.828 1  39
  30  70   611086.562     1.890 1  40
  30  71   616921.938     2.627 1  41
  30  72   625809.938     2.160 1  42
  30  73   631329.188     1.898 1  43
  30  74   639563.812     2.516 1  44
  30  75   644437.250     1.950 1  45
  30  76   652252.750     1.444 1  46
  30  77   656810.250     2.002 1  47
  30  78   663575.562     1.950 1  48
  30  79   667596.000     2.212 1  49
  30  80   673883.625     2.560 1  50
  30  81   676505.938     5.022 1  51
  30  82   680691.625     3.034 1  52
  31  61   515232.281    38.003 1  30
  31  62   528155.750     0.620 1  31
  31  63   540787.312     1.323 1  32
  31  64   551144.375     1.408 1  33
  31  65   563040.438     0.845 1  34
  31  66   572177.875     1.122 1  35
  31  67   583404.625     1.206 1  36
  31  68   591682.812     1.428 1  37
  31  69   601995.938     1.173 1  38
  31  70   609649.625     1.190 1  39
  31  71   618949.875     0.781 1  40
  31  72   625470.375     0.792 1  41
  31  73   634652.750     1.679 1  42
  31  74   641074.375     2.960 1  43
  31  75   649560.562     2.400 1  44
  31  76   655464.000     1.976 1  45
  31  77   663231.000     2.387 1  46
  31  78   669015.875     1.872 1  47
  31  79   675929.000     1.896 1  48
  31  80   680676.312     2.880 1  49
  31  81   687151.938     3.240 1  50
  31  82   690526.000     2.460 1  51
  31  83   694923.750     2.573 1  52
  32  63   530379.125    37.233 1  31
  32  64   545844.688     3.712 1  32
  32  65   556078.750     2.145 1  33
  32  66   569278.812     2.376 1  34
  32  67   578401.438     4.690 1  35
  32  68   590793.250     1.904 1  36
  32  69   598986.438     1.311 1  37
  32  70   610519.000     0.840 1  38
  32  71   617934.938     0.852 1  39
  32  72   628685.625     0.072 1  40
  32  73   635468.562     0.073 1  41
  32  74   645664.812     0.000 1  42
  32  75   652170.688     0.075 1  43
  32  76   661597.938     0.000 1  44
  32  77   667669.188     0.077 1  45
  32  78   676389.750     3.510 1  46
  32  79   682125.562    37.209 1  47
  32  80   690205.625     2.080 1  48
  32  81   695033.312     2.025 1  49
  32  82   702228.000     2.214 1  50
  32  83   705860.625     2.407 1  51
  32  84   711104.062     3.192 1  52
  32  85   714150.250     3.740 1  53
  32  86   718498.062   437.826 1  54
  33  65   545755.250    84.760 1  32
  33  66   558914.625     5.676 1  33
  33  67   571548.062     0.469 1  34
  33  68   581926.688     1.836 1  35
  33  69   594215.688    32.016 1  36
  33  70   603516.625    49.980 1  37
  33  71   615139.125     4.189 1  38
  33  72   623547.188     4.104 1  39
  33  73   634341.500     3.869 1  40
  33  74   642320.062     1.702 1  41
  33  75   652565.562     0.900 1  42
  33  76   659894.062     0.912 1  43
