   1    2    3    0.8808
  77  108  185    0.0074
  77  109  186    0.0095
  77  110  187   -0.0042
  77  111  188   -0.0062
  77  112  189    0.0086
  77  114  191    0.0070
  77  116  193    0.0064
  78  102  180    0.0163
  78  103  181    0.0081
  78  104  182    0.0078
  78  105  183    0.0042
  78  106  184    0.0046
  78  107  185    0.0110
  78  108  186    0.0022
  78  109  187   -0.0085
  78  110  188    0.0016
  78  111  189   -0.0003
  78  112  190    0.0055
  78  113  191    0.0042
  78  114  192    0.0061
  78  115  193    0.0089
  78  116  194    0.0067
  78  117  195    0.0079
  78  118  196    0.0071
  78  120  198    0.0076
  79  106  185    0.0049
  79  107  186    0.0048
  79  108  187   -0.0278
  79  109  188   -0.0305
  79  110  189    0.0066
  79  111  190    0.0060
  79  112  191    0.0063
  79  113  192    0.0070
  79  114  193    0.0074
  79  115  194    0.0073
  79  116  195    0.0077
  79  117  196    0.0080
  79  118  197    0.0073
  79  119  198    0.0068
  79  120  199    0.0083
  80  103  183    0.0041
  80  104  184    0.0116
  80  105  185   -0.0008
  80  106  186    0.0068
  80  107  187   -0.0351
  80  108  188    0.0068
  80  109  189    0.0054
  80  110  190    0.0073
  80  111  191    0.0071
  80  112  192    0.0074
  80  113  193    0.0067
  80  114  194    0.0077
  80  115  195    0.0107
  80  116  196    0.0076
  80  117  197    0.0067
  80  118  198    0.0078
  80  119  199    0.0062
  80  120  200    0.0088
  80  121  201    0.0107
  80  122  202    0.0097
  80  123  203    0.0098
  80  124  204    0.0096
  80  125  205    0.0097
  80  126  206    0.0093
  81  104  185    0.0110
  81  109  190    0.0104
  81  111  192    0.0070
  81  112  193    0.0074
  81  113  194    0.0068
  81  114  195    0.0082
  81  115  196    0.0068
  81  116  197    0.0063
  81  117  198    0.0069
  81  118  199    0.0091
  81  119  200    0.0095
  81  120  201    0.0094
  81  121  202    0.0104
  81  122  203    0.0093
  81  123  204    0.0109
  81  124  205    0.0093
  81  126  207    0.0094
  82  102  184    0.0142
  82  103  185    0.0115
  82  104  186    0.0097
  82  105  187    0.0095
  82  106  188    0.0112
  82  107  189    0.0098
  82  108  190    0.0083
  82  109  191    0.0052
  82  110  192    0.0078
  82  111  193    0.0081
  82  112  194    0.0072
  82  113  195    0.0079
  82  114  196    0.0072
  82  115  197    0.0057
  82  116  198    0.0080
  82  117  199    0.0083
  82  118  200    0.0087
  82  119  201    0.0100
  82  120  202    0.0094
  82  121  203    0.0098
  82  122  204    0.0098
  82  123  205    0.0101
  82  124  206    0.0099
  82  125  207    0.0115
  82  126  208    0.0110
  82  127  209    0.0157
  82  128  210    0.0196
  82  129  211    0.0190
  82  130  212    0.0188
  82  132  214    0.0181
  83  121  204    0.0094
  83  122  205    0.0097
  83  123  206    0.0100
  83  124  207    0.0095
  83  125  208    0.0113
