  26  31  57   3.7532  0.0017                    57,31,0.108,0.001,3.7532,0.0017
  26  32  58   3.7745  0.0014                    58,32,0.274,0.002,3.7745,0.0014
  27  32  59   3.7875  0.0021                    59,32,,,3.7875,0.0021
  28  30  58   3.7757  0.0020                    58,30,-0.267,0.005,3.7757,0.0020
  28  32  60   3.8118  0.0016                    60,32,0,0,3.8118,0.0016
  28  33  61   3.8225  0.0019                    61,33,0.082,0.007,3.8225,0.0019
  28  34  62   3.8399  0.0021                    62,34,0.211,0.007,3.8399,0.0021
  28  36  64   3.8572  0.0023                    64,36,0.338,0.010,3.8572,0.0023
  29  34  63   3.8823  0.0015                    63,34,,,3.8823,0.0015
  29  36  65   3.9022  0.0014                    65,36,,,3.9022,0.0014
  30  34  64   3.9283  0.0015                    64,34,-0.162,0.002,3.9283,0.0015
  30  36  66   3.9491  0.0014                    66,36,0,0,3.9491,0.0014
  30  37  67   3.9530  0.0027                    67,37,0.032,0.003,3.9530,0.0027
  30  38  68   3.9658  0.0014                    68,38,0.131,0.002,3.9658,0.0014
  30  40  70   3.9845  0.0019                    70,40,0.286,0.003,3.9845,0.0019
  31  32  63   3.9308  0.0124                    63,32,-0.643,0.136,3.9308,0.0124
  31  33  64   3.9390  0.0110                    64,33,-0.579,0.12,3.9390,0.0110
  31  35  66   3.9706  0.0071                    66,35,-0.329,0.076,3.9706,0.0071
  31  37  68   3.9850  0.0048                    68,37,-0.214,0.049,3.9850,0.0048
  31  38  69   3.9973  0.0016                    69,38,-0.116,0.03,3.9973,0.0016
  31  39  70   3.9998  0.0027                    70,39,-0.096,0.021,3.9998,0.0027
  31  40  71   4.0118  0.0016                    71,40,0,0,4.0118,0.0016
  31  41  72   4.0318  0.0031                    72,41,0.161,0.027,4.0318,0.0031
  31  42  73   4.0420  0.0042                    73,42,0.243,0.042,4.0420,0.0042
  31  43  74   4.0395  0.0045                    74,43,0.223,0.045,4.0395,0.0045
  31  44  75   4.0472  0.0055                    75,44,0.285,0.058,4.0472,0.0055
  31  45  76   4.0460  0.0060                    76,45,0.276,0.064,4.0460,0.0060
  31  46  77   4.0500  0.0068                    77,46,0.308,0.074,4.0500,0.0068
  31  47  78   4.0453  0.0072                    78,47,0.27,0.078,4.0453,0.0072
  31  48  79   4.0478  0.0079                    79,48,0.29,0.087,4.0478,0.0079
  31  49  80   4.0418  0.0083                    80,49,0.242,0.092,4.0418,0.0083
  31  50  81   4.0441  0.0089                    81,50,0.26,0.099,4.0441,0.0089
  31  51  82   4.0671  0.0108                    82,51,0.447,0.122,4.0671,0.0108
  32  38  70   4.0414  0.0012                    70,38,,,4.0414,0.0012
  32  40  72   4.0576  0.0013                    72,40,,,4.0576,0.0013
  32  41  73   4.0632  0.0014                    73,41,,,4.0632,0.0014
  32  42  74   4.0742  0.0012                    74,42,,,4.0742,0.0012
  32  44  76   4.0811  0.0012                    76,44,,,4.0811,0.0012
  33  42  75   4.0968  0.0020                    75,42,,,4.0968,0.0020
  34  40  74   4.0700  0.0200                    74,40,,,4.0700,0.0200
  34  42  76   4.1395  0.0016                    76,42,,,4.1395,0.0016
  34  43  77   4.1395  0.0018                    77,43,,,4.1395,0.0018
  34  44  78   4.1406  0.0017                    78,44,,,4.1406,0.0017
  34  46  80   4.1400  0.0018                    80,46,,,4.1400,0.0018
  34  48  82   4.1400  0.0019                    82,48,,,4.1400,0.0019
  35  44  79   4.1629  0.0021                    79,44,,,4.1629,0.0021
  35  46  81   4.1599  0.0021                    81,46,,,4.1599,0.0021
  36  36  72   4.1635  0.0060                    72,36,-0.168,0.018,4.1635,0.0060
  36  38  74   4.1870  0.0041                    74,38,0.030,0.005,4.1870,0.0041
  36  39  75   4.2097  0.0041                    75,39,0.221,0.007,4.2097,0.0041
  36  40  76   4.2020  0.0036                    76,40,0.156,0.004,4.2020,0.0036
  36  41  77   4.2082  0.0037                    77,41,0.209,0.005,4.2082,0.0037
  36  42  78   4.2038  0.0033                    78,42,0.172,0.003,4.2038,0.0033
  36  43  79   4.2034  0.0032                    79,43,0.168,0.004,4.2034,0.0032
  36  44  80   4.1970  0.0029                    80,44,0.114,0.007,4.1970,0.0029
  36  45  81   4.1952  0.0026                    81,45,0.099,0.004,4.1952,0.0026
  36  46  82   4.1919  0.0025                    82,46,0.071,0.003,4.1919,0.0025
  36  47  83   4.1871  0.0023                    83,47,0.031,0.003,4.1871,0.0023
  36  48  84   4.1884  0.0022                    84,48,0.042,0.001,4.1884,0.0022
  36  49  85   4.1846  0.0022                    85,49,0.009,0.004,4.1846,0.0022
  36  50  86   4.1835  0.0021                    86,50,0,0,4.1835,0.0021
  36  51  87   4.1984  0.0027                    87,51,0.125,0.003,4.1984,0.0027
  36  52  88   4.2171  0.0043                    88,52,0.282,0.004,4.2171,0.0043
